864,ice
549,white sugar
401,water
376,milk
243,banana
241,orange juice
239,vanilla
233,vodka
181,pineapple juice
176,lemon juice
163,strawberries
161,cinnamon
159,honey
131,nutmeg
129,lemon
114,rum
108,lime
106,lime juice
103,
96,orange
96,blueberries
92,cranberry juice
86,lemonade concentrate
84,pineapple
78,orange juice concentrate
76,boiling water
75,brown sugar
74,simple syrup
73,salt
73,ginger
70,triple sec
68,bananas
67,ice desired
62,gin
60,whipped cream
58,chocolate syrup
58,mint leaves
56,maraschino cherry
56,cinnamon sticks
52,vanilla ice cream
52,almond milk
49,vanilla yogurt
49,raspberries
48,club soda
46,tequila
46,sugar
46,spinach
45,mango
43,brandy
43,grenadine syrup
41,irish cream liqueur
41,maraschino cherries
40,sweet sour
39,dark rum
39,unsweetened cocoa powder
38,sweetened condensed milk
38,cream
38,limeade concentrate
38,chia seeds
37,instant coffee granules
37,jigger vodka
36,strawberries hulled
36,scoops vanilla ice cream
36,peach schnapps
35,amaretto liqueur
35,whipping cream
34,apple
34,confectioners sugar
33,apple juice
33,mint
33,lime juiced
32,cucumber
32,whiskey
30,cinnamon stick
30,allspice
30,plain yogurt
30,pumpkin
30,half-and-half
29,lemon juiced
29,avocado
29,peach
29,coconut milk
28,spiced rum
28,peanut butter
27,coffee flavored liqueur
27,apple cider
26,cream coconut
26,eggs
25,pumpkin pie spice
25,white rum
25,butterscotch schnapps
24,cola-flavored carbonated beverage
24,half-and-half cream
24,lemon-lime flavored carbonated beverage
23,coconut-flavored rum
23,hot water
23,skim milk
23,flax seeds
23,bottle lemon-lime flavored carbonated beverage
